Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
Burnley,6.72,17.7,16.7,14.1,11.3,2.7,6.72,0.35,0.32,0.33,0.3,0.43,0.27,EPL,2016
Leicester,6.71,14.6,17.8,14.1,11.9,1.7,6.71,0.38,0.26,0.36,0.28,0.45,0.27,EPL,2016
West Bromwich Albion,6.69,13.6,15.9,14.1,11.8,1.5,6.69,0.35,0.27,0.38,0.31,0.43,0.26,EPL,2016
Swansea,6.68,13.7,16.7,12.0,10.6,1.3,6.68,0.33,0.26,0.42,0.28,0.45,0.27,EPL,2016
Watford,6.65,14.2,16.2,13.5,13.6,1.6,6.65,0.4,0.29,0.31,0.3,0.43,0.28,EPL,2016
Sunderland,6.62,17.8,16.6,14.4,11.5,2.1,6.62,0.37,0.26,0.37,0.31,0.43,0.26,EPL,2016
Hull,6.6,16.7,16.6,14.9,10.6,1.9,6.6,0.34,0.27,0.39,0.32,0.45,0.23,EPL,2016
Manchester City,7.15,6.2,14.8,9.1,9.1,1.8,7.15,0.38,0.28,0.33,0.21,0.44,0.34,EPL,2017
Liverpool,6.99,7.4,16.8,10.0,9.1,1.8,6.99,0.34,0.3,0.36,0.23,0.47,0.3,EPL,2017
Manchester United,6.98,11.5,14.8,12.7,10.7,2.3,6.98,0.38,0.27,0.35,0.27,0.44,0.3,EPL,2017
Tottenham,6.95,9.4,16.3,10.0,10.1,2.3,6.95,0.35,0.31,0.34,0.25,0.44,0.32,EPL,2017
Chelsea,6.94,9.9,16.7,11.1,9.6,2.8,6.94,0.32,0.31,0.37,0.27,0.44,0.29,EPL,2017
Arsenal,6.92,11.1,16.4,11.3,10.1,2.3,6.92,0.36,0.32,0.32,0.26,0.44,0.3,EPL,2017
Crystal Palace,6.84,12.3,18.0,14.5,11.2,1.5,6.84,0.39,0.27,0.34,0.29,0.43,0.28,EPL,2017
Burnley,6.78,15.0,14.0,10.6,9.2,2.6,6.78,0.36,0.28,0.35,0.29,0.43,0.28,EPL,2017
Leicester,6.74,12.9,16.6,10.9,9.6,2.4,6.74,0.41,0.26,0.33,0.29,0.45,0.27,EPL,2017
Newcastle United,6.72,12.6,16.9,11.6,10.8,1.7,6.72,0.35,0.28,0.37,0.29,0.45,0.25,EPL,2017
West Ham,6.72,14.8,16.4,12.8,10.0,2.6,6.72,0.38,0.25,0.37,0.29,0.45,0.25,EPL,2017
Stoke,6.7,15.2,17.9,12.1,11.5,2.3,6.7,0.37,0.27,0.36,0.3,0.45,0.26,EPL,2017
Brighton,6.69,14.6,15.7,11.9,10.9,2.6,6.69,0.42,0.22,0.36,0.32,0.45,0.23,EPL,2017
Southampton,6.67,12.9,17.3,12.2,10.9,1.9,6.67,0.4,0.26,0.33,0.27,0.45,0.28,EPL,2017
Everton,6.67,14.2,16.9,13.5,12.1,2.2,6.67,0.34,0.25,0.4,0.31,0.43,0.27,EPL,2017
Watford,6.66,10.9,17.6,12.3,11.6,1.9,6.66,0.4,0.26,0.34,0.26,0.44,0.29,EPL,2017
Bournemouth,6.65,14.4,13.4,9.7,8.9,1.4,6.65,0.39,0.25,0.35,0.3,0.43,0.27,EPL,2017
West Bromwich Albion,6.63,13.6,15.9,12.3,11.6,2.1,6.63,0.37,0.25,0.39,0.31,0.43,0.26,EPL,2017
Huddersfield,6.61,11.6,19.6,13.7,10.4,1.8,6.61,0.37,0.22,0.42,0.28,0.45,0.27,EPL,2017
Swansea,6.59,14.2,16.1,10.3,9.9,1.0,6.59,0.33,0.25,0.42,0.3,0.46,0.25,EPL,2017
Manchester City,7.09,6.3,13.7,9.5,8.6,2.6,7.09,0.42,0.26,0.33,0.19,0.46,0.35,EPL,2018
Liverpool,7.01,8.1,16.1,8.3,8.3,2.0,7.01,0.36,0.27,0.37,0.23,0.47,0.31,EPL,2018
Chelsea,6.89,9.2,16.3,9.3,8.9,2.2,6.89,0.39,0.27,0.35,0.24,0.44,0.32,EPL,2018
Tottenham,6.86,12.1,16.5,8.6,9.9,1.9,6.86,0.37,0.27,0.36,0.27,0.45,0.28,EPL,2018
Arsenal,6.79,13.1,16.0,10.8,10.8,2.3,6.79,0.42,0.24,0.34,0.29,0.45,0.27,EPL,2018
Leicester,6.78,11.2,17.8,11.5,9.2,1.9,6.78,0.39,0.25,0.36,0.28,0.46,0.27,EPL,2018
Crystal Palace,6.78,13.8,19.3,11.7,10.2,2.1,6.78,0.44,0.24,0.32,0.3,0.45,0.25,EPL,2018
West Ham,6.77,13.9,19.0,12.0,8.7,1.9,6.77,0.37,0.23,0.39,0.28,0.47,0.25,EPL,2018
Everton,6.77,10.6,18.4,11.9,11.4,1.8,6.77,0.39,0.22,0.4,0.27,0.44,0.3,EPL,2018
Wolverhampton Wanderers,6.75,12.2,18.9,13.2,10.8,1.9,6.75,0.36,0.22,0.42,0.27,0.48,0.24,EPL,2018
Newcastle United,6.74,12.9,18.8,13.3,11.1,1.6,6.74,0.39,0.24,0.37,0.3,0.47,0.24,EPL,2018
Manchester United,6.74,13.1,15.3,9.3,11.4,2.4,6.74,0.42,0.26,0.31,0.27,0.46,0.27,EPL,2018
Burnley,6.7,17.2,15.4,9.7,9.5,2.8,6.7,0.41,0.26,0.33,0.29,0.45,0.27,EPL,2018
Southampton,6.68,13.7,18.4,14.4,11.1,1.6,6.68,0.41,0.25,0.33,0.27,0.46,0.28,EPL,2018
Watford,6.68,12.9,17.3,11.3,11.4,2.3,6.68,0.35,0.31,0.34,0.28,0.45,0.27,EPL,2018
Bournemouth,6.68,13.7,13.8,9.8,8.9,1.5,6.68,0.38,0.24,0.38,0.31,0.44,0.26,EPL,2018
Cardiff,6.62,15.0,17.2,13.9,9.8,2.0,6.62,0.36,0.26,0.38,0.28,0.44,0.28,EPL,2018
Brighton,6.61,15.3,17.9,12.2,12.2,2.4,6.61,0.41,0.21,0.38,0.3,0.45,0.23,EPL,2018
Fulham,6.56,15.4,15.7,11.3,11.1,2.4,6.56,0.37,0.28,0.35,0.29,0.47,0.24,EPL,2018
Huddersfield,6.47,13.7,18.6,14.0,11.1,1.7,6.47,0.37,0.2,0.42,0.26,0.46,0.27,EPL,2018
Manchester City,7.05,7.4,13.5,9.3,9.5,1.8,7.05,0.4,0.27,0.33,0.21,0.43,0.36,EPL,2019
Liverpool,6.94,9.0,14.5,9.3,8.7,1.4,6.94,0.38,0.26,0.36,0.23,0.44,0.33,EPL,2019
Leicester,6.87,9.9,19.5,11.1,11.0,1.7,6.87,0.37,0.24,0.4,0.28,0.44,0.28,EPL,2019
Chelsea,6.86,8.5,16.8,12.1,10.2,1.7,6.86,0.39,0.26,0.35,0.25,0.45,0.3,EPL,2019
Manchester United,6.83,10.3,15.3,9.9,11.1,1.5,6.83,0.41,0.24,0.35,0.27,0.43,0.3,EPL,2019
Wolverhampton Wanderers,6.83,10.5,17.0,11.5,10.7,1.3,6.83,0.37,0.21,0.42,0.28,0.47,0.26,EPL,2019
Tottenham,6.78,14.2,17.5,10.0,11.1,1.7,6.78,0.35,0.28,0.36,0.29,0.46,0.26,EPL,2019
Burnley,6.74,14.2,14.4,10.2,10.8,2.3,6.74,0.41,0.27,0.32,0.27,0.44,0.29,EPL,2019
West Ham,6.72,13.2,18.3,11.1,10.2,1.7,6.72,0.41,0.24,0.35,0.28,0.45,0.27,EPL,2019
Sheffield United,6.72,11.3,16.1,11.0,10.8,2.1,6.72,0.39,0.2,0.42,0.26,0.43,0.32,EPL,2019
Arsenal,6.71,14.6,15.4,9.2,11.1,1.9,6.71,0.39,0.23,0.38,0.32,0.42,0.27,EPL,2019
Southampton,6.71,11.9,18.6,11.2,11.8,1.5,6.71,0.42,0.24,0.34,0.25,0.45,0.3,EPL,2019
Everton,6.68,11.2,17.6,10.7,12.4,1.5,6.68,0.37,0.23,0.4,0.28,0.43,0.29,EPL,2019
Crystal Palace,6.68,13.5,18.1,11.7,11.2,1.4,6.68,0.45,0.23,0.32,0.31,0.43,0.26,EPL,2019
Newcastle United,6.65,14.9,15.9,10.3,9.7,2.0,6.65,0.4,0.24,0.36,0.31,0.46,0.22,EPL,2019
Brighton,6.63,13.1,16.9,11.0,10.2,1.9,6.63,0.4,0.23,0.37,0.29,0.43,0.28,EPL,2019
Aston Villa,6.62,16.0,13.8,11.1,11.9,1.6,6.62,0.39,0.24,0.36,0.32,0.41,0.27,EPL,2019
Bournemouth,6.6,14.7,13.3,12.5,9.7,1.8,6.6,0.42,0.24,0.35,0.3,0.43,0.27,EPL,2019
Watford,6.59,13.1,17.3,11.2,12.7,1.8,6.59,0.38,0.26,0.36,0.28,0.44,0.28,EPL,2019
Norwich,6.52,16.0,16.5,10.4,9.6,1.3,6.52,0.41,0.22,0.36,0.35,0.42,0.23,EPL,2019
Manchester City,7.01,7.4,13.1,8.4,9.5,1.5,7.01,0.39,0.28,0.33,0.2,0.46,0.33,EPL,2020
Manchester United,6.85,11.3,14.5,10.2,11.9,2.0,6.85,0.42,0.25,0.33,0.26,0.42,0.31,EPL,2020
Aston Villa,6.84,14.2,13.9,10.2,11.6,1.9,6.84,0.44,0.24,0.31,0.3,0.41,0.31,EPL,2020
Chelsea,6.83,8.8,16.1,10.1,11.4,2.1,6.83,0.36,0.27,0.38,0.28,0.44,0.29,EPL,2020
Liverpool,6.82,8.7,13.8,9.1,10.4,1.7,6.82,0.36,0.27,0.36,0.23,0.44,0.34,EPL,2020
Tottenham,6.81,12.8,16.7,9.0,11.6,1.2,6.81,0.37,0.28,0.35,0.29,0.46,0.25,EPL,2020
Leicester,6.8,9.7,17.9,11.5,10.9,1.9,6.8,0.35,0.26,0.39,0.28,0.45,0.28,EPL,2020
Leeds,6.77,14.7,19.5,10.4,11.4,2.0,6.77,0.37,0.24,0.38,0.32,0.41,0.27,EPL,2020
West Ham,6.77,12.2,13.5,11.5,9.9,1.9,6.77,0.39,0.24,0.37,0.28,0.46,0.27,EPL,2020
Everton,6.73,13.3,16.8,10.3,10.2,1.7,6.73,0.4,0.27,0.33,0.31,0.44,0.25,EPL,2020
Arsenal,6.69,10.9,12.0,9.2,9.1,1.6,6.69,0.4,0.25,0.36,0.28,0.43,0.29,EPL,2020
Wolverhampton Wanderers,6.67,11.6,15.5,11.4,11.2,1.0,6.67,0.34,0.24,0.42,0.28,0.46,0.26,EPL,2020
Brighton,6.65,9.4,16.5,11.2,11.3,1.4,6.65,0.37,0.26,0.37,0.28,0.43,0.29,EPL,2020
Burnley,6.64,15.0,13.3,10.9,10.1,2.1,6.64,0.38,0.28,0.34,0.27,0.43,0.3,EPL,2020
Fulham,6.63,11.3,15.8,11.5,12.7,1.1,6.63,0.4,0.25,0.36,0.28,0.43,0.27,EPL,2020
Southampton,6.62,11.3,19.1,10.6,11.3,2.0,6.62,0.4,0.27,0.33,0.28,0.46,0.26,EPL,2020
Newcastle United,6.62,15.1,13.5,9.5,10.2,1.5,6.62,0.37,0.25,0.39,0.32,0.44,0.25,EPL,2020
Crystal Palace,6.61,14.2,16.8,10.4,10.8,1.8,6.61,0.44,0.23,0.33,0.3,0.46,0.24,EPL,2020
West Bromwich Albion,6.51,15.8,15.3,11.4,10.6,2.0,6.51,0.4,0.22,0.38,0.31,0.43,0.27,EPL,2020
Sheffield United,6.46,14.3,16.7,9.2,12.1,1.9,6.46,0.41,0.21,0.38,0.28,0.43,0.3,EPL,2020
Manchester City,7.09,6.3,12.9,7.5,8.8,1.9,7.09,0.39,0.26,0.35,0.2,0.43,0.38,EPL,2021
Liverpool,7.07,8.0,14.1,9.5,9.6,1.7,7.07,0.34,0.27,0.38,0.22,0.42,0.35,EPL,2021
Chelsea,6.93,9.4,16.2,9.3,10.7,1.8,6.93,0.34,0.26,0.4,0.27,0.42,0.3,EPL,2021
Tottenham,6.83,13.2,16.1,9.0,10.3,1.7,6.83,0.33,0.27,0.4,0.29,0.44,0.26,EPL,2021
West Ham,6.76,13.7,14.3,10.1,8.5,1.6,6.76,0.41,0.22,0.37,0.28,0.43,0.29,EPL,2021
Manchester United,6.73,13.4,15.6,8.6,10.3,2.2,6.73,0.41,0.25,0.33,0.28,0.43,0.29,EPL,2021
Wolverhampton Wanderers,6.73,12.6,17.7,10.4,10.4,1.7,6.73,0.34,0.24,0.42,0.32,0.44,0.25,EPL,2021
Arsenal,6.72,11.3,14.5,8.0,9.5,1.9,6.72,0.35,0.26,0.38,0.27,0.41,0.32,EPL,2021
Crystal Palace,6.7,12.0,17.6,8.9,10.7,1.6,6.7,0.41,0.24,0.35,0.31,0.43,0.25,EPL,2021
Leicester,6.68,15.5,18.0,10.3,9.3,1.7,6.68,0.42,0.23,0.35,0.32,0.43,0.25,EPL,2021
Aston Villa,6.67,12.3,16.6,8.8,10.2,1.3,6.67,0.42,0.27,0.31,0.28,0.42,0.3,EPL,2021
Southampton,6.66,12.7,15.7,11.8,11.0,1.0,6.66,0.42,0.24,0.34,0.27,0.42,0.3,EPL,2021
Burnley,6.66,16.2,15.6,11.4,10.2,2.8,6.66,0.38,0.26,0.36,0.29,0.41,0.31,EPL,2021
Brighton,6.65,12.3,18.0,9.6,10.5,1.4,6.65,0.4,0.23,0.37,0.29,0.4,0.3,EPL,2021
Brentford,6.64,13.4,16.7,10.3,9.9,1.9,6.64,0.4,0.27,0.33,0.32,0.41,0.26,EPL,2021
Newcastle United,6.59,13.8,17.2,9.7,10.3,1.6,6.59,0.41,0.24,0.35,0.3,0.43,0.26,EPL,2021
Everton,6.59,13.4,18.8,9.8,9.9,1.6,6.59,0.39,0.24,0.37,0.28,0.43,0.29,EPL,2021
Leeds,6.57,15.0,20.8,10.7,12.2,1.8,6.57,0.38,0.23,0.39,0.31,0.41,0.28,EPL,2021
Watford,6.54,14.4,16.0,11.5,12.1,1.4,6.54,0.39,0.22,0.39,0.31,0.42,0.27,EPL,2021
Norwich,6.46,16.5,16.0,9.9,9.4,1.6,6.46,0.39,0.23,0.39,0.34,0.41,0.24,EPL,2021
Barcelona,7.3,8.5,20.3,20.6,13.5,3.6,7.3,0.35,0.31,0.34,0.23,0.49,0.28,LaLiga,2009
Real Madrid,7.27,10.3,20.7,21.6,15.4,3.7,7.27,0.36,0.31,0.33,0.23,0.46,0.3,LaLiga,2009
Valencia,6.96,12.2,20.9,17.6,16.6,3.4,6.96,0.37,0.26,0.37,0.27,0.45,0.28,LaLiga,2009
Mallorca,6.95,11.9,19.7,23.2,17.7,2.5,6.95,0.36,0.25,0.38,0.28,0.44,0.28,LaLiga,2009
Sevilla,6.91,12.3,17.1,17.8,15.8,2.2,6.91,0.37,0.24,0.39,0.26,0.44,0.3,LaLiga,2009
Athletic Bilbao,6.9,14.9,20.2,23.5,15.0,2.6,6.9,0.33,0.31,0.37,0.29,0.42,0.28,LaLiga,2009
Villarreal,6.87,11.0,21.5,21.4,14.0,2.5,6.87,0.35,0.33,0.32,0.27,0.45,0.29,LaLiga,2009
Almeria,6.86,16.7,20.2,23.5,16.5,3.2,6.86,0.33,0.27,0.39,0.29,0.46,0.25,LaLiga,2009
Getafe,6.85,13.1,18.8,18.7,13.9,2.1,6.85,0.36,0.27,0.37,0.29,0.44,0.27,LaLiga,2009
Malaga,6.84,13.3,19.1,20.7,17.6,2.7,6.84,0.39,0.24,0.37,0.28,0.44,0.27,LaLiga,2009
Atletico Madrid,6.8,13.5,20.0,18.3,16.1,2.1,6.8,0.39,0.26,0.35,0.27,0.46,0.27,LaLiga,2009
Real Zaragoza,6.8,12.2,22.7,18.3,17.9,2.9,6.8,0.33,0.28,0.4,0.26,0.47,0.27,LaLiga,2009
Racing Santander,6.78,13.8,19.8,20.8,19.0,3.8,6.78,0.37,0.26,0.37,0.28,0.44,0.27,LaLiga,2009
Tenerife,6.78,12.4,21.1,25.4,16.1,2.6,6.78,0.34,0.27,0.39,0.25,0.45,0.29,LaLiga,2009
Real Valladolid,6.76,12.4,20.6,20.4,16.7,3.0,6.76,0.32,0.29,0.39,0.27,0.43,0.29,LaLiga,2009
Sporting Gijon,6.76,14.1,22.3,18.1,15.7,3.4,6.76,0.36,0.25,0.39,0.28,0.46,0.26,LaLiga,2009
Espanyol,6.75,12.8,19.2,19.5,16.3,3.5,6.75,0.34,0.29,0.36,0.29,0.45,0.26,LaLiga,2009
Osasuna,6.74,13.8,16.0,17.4,16.3,2.7,6.74,0.37,0.26,0.36,0.28,0.44,0.29,LaLiga,2009
Deportivo La Coruna,6.72,15.8,19.6,12.6,12.9,3.2,6.72,0.32,0.25,0.43,0.31,0.44,0.25,LaLiga,2009
Xerez,6.64,15.8,19.6,15.2,15.2,3.0,6.64,0.37,0.24,0.39,0.3,0.46,0.24,LaLiga,2009
Barcelona,7.21,7.4,18.5,18.2,10.6,3.9,7.21,0.32,0.33,0.35,0.2,0.49,0.31,LaLiga,2010
Real Madrid,7.2,10.2,22.4,21.8,14.2,3.8,7.2,0.37,0.28,0.35,0.24,0.45,0.3,LaLiga,2010
Valencia,6.97,13.4,19.2,23.3,16.0,2.8,6.97,0.34,0.24,0.42,0.27,0.43,0.29,LaLiga,2010
Villarreal,6.95,12.0,22.8,24.6,12.4,2.2,6.95,0.34,0.3,0.36,0.29,0.44,0.27,LaLiga,2010
Atletico Madrid,6.89,13.6,21.7,22.2,14.8,2.5,6.89,0.39,0.27,0.33,0.27,0.46,0.28,LaLiga,2010
Real Zaragoza,6.85,12.0,24.6,27.9,17.9,2.9,6.85,0.36,0.3,0.34,0.27,0.46,0.27,LaLiga,2010
Sevilla,6.85,12.6,19.3,20.4,14.5,2.2,6.85,0.35,0.27,0.39,0.28,0.44,0.28,LaLiga,2010
Osasuna,6.85,13.6,18.3,25.6,17.2,2.8,6.85,0.35,0.27,0.38,0.27,0.44,0.3,LaLiga,2010
Sporting Gijon,6.85,11.8,22.9,25.2,16.0,2.9,6.85,0.39,0.25,0.36,0.28,0.44,0.28,LaLiga,2010
Athletic Bilbao,6.84,12.6,20.6,24.1,16.5,3.3,6.84,0.33,0.31,0.37,0.26,0.43,0.3,LaLiga,2010
Mallorca,6.83,12.5,19.7,24.2,14.2,3.1,6.83,0.33,0.28,0.39,0.27,0.45,0.28,LaLiga,2010
Racing Santander,6.83,13.1,20.0,29.5,15.9,3.2,6.83,0.37,0.27,0.36,0.3,0.46,0.24,LaLiga,2010
Malaga,6.83,15.2,20.8,25.9,14.3,2.2,6.83,0.37,0.26,0.38,0.3,0.45,0.25,LaLiga,2010
Real Sociedad,6.81,16.0,21.3,24.6,14.3,2.8,6.81,0.31,0.25,0.43,0.29,0.42,0.29,LaLiga,2010
Getafe,6.81,13.8,20.1,26.5,13.5,2.9,6.81,0.36,0.25,0.39,0.29,0.45,0.26,LaLiga,2010
Deportivo La Coruna,6.78,13.2,20.2,26.5,13.1,2.2,6.78,0.29,0.26,0.45,0.29,0.45,0.27,LaLiga,2010
Espanyol,6.75,13.3,19.8,21.0,14.4,3.2,6.75,0.37,0.26,0.37,0.28,0.47,0.24,LaLiga,2010
Hercules,6.75,14.6,19.6,26.8,13.8,3.6,6.75,0.34,0.23,0.44,0.29,0.43,0.27,LaLiga,2010
Levante,6.73,14.3,19.0,25.4,14.7,2.5,6.73,0.32,0.27,0.41,0.3,0.44,0.26,LaLiga,2010
Almeria,6.72,15.7,22.7,22.4,14.9,3.2,6.72,0.34,0.29,0.37,0.3,0.43,0.27,LaLiga,2010
Barcelona,7.25,7.3,19.9,19.2,10.7,3.5,7.25,0.31,0.34,0.35,0.19,0.47,0.33,LaLiga,2011
Real Madrid,7.19,10.2,21.8,16.3,13.8,3.5,7.19,0.39,0.28,0.33,0.23,0.45,0.32,LaLiga,2011
Malaga,6.96,10.6,23.9,30.9,11.3,2.2,6.96,0.37,0.27,0.36,0.24,0.45,0.3,LaLiga,2011
Real Sociedad,6.95,14.2,24.5,36.3,12.1,2.6,6.95,0.31,0.24,0.45,0.29,0.45,0.26,LaLiga,2011
Sevilla,6.94,12.5,20.7,25.0,13.1,2.1,6.94,0.34,0.26,0.4,0.28,0.45,0.27,LaLiga,2011
Athletic Bilbao,6.93,15.0,24.7,31.6,14.5,3.4,6.93,0.33,0.25,0.42,0.29,0.44,0.27,LaLiga,2011
Real Betis,6.93,13.1,21.9,34.4,14.4,2.2,6.93,0.41,0.27,0.31,0.27,0.45,0.27,LaLiga,2011
Atletico Madrid,6.91,11.5,24.4,27.6,18.0,3.1,6.91,0.35,0.27,0.38,0.25,0.44,0.3,LaLiga,2011
Valencia,6.9,11.9,20.1,26.7,16.9,2.9,6.9,0.39,0.26,0.35,0.28,0.42,0.29,LaLiga,2011
Levante,6.9,14.3,23.7,33.6,12.7,2.6,6.9,0.32,0.26,0.42,0.3,0.42,0.26,LaLiga,2011
Villarreal,6.89,12.9,24.2,33.2,14.2,2.8,6.89,0.37,0.25,0.38,0.31,0.43,0.26,LaLiga,2011
Mallorca,6.87,13.6,23.1,33.6,17.8,2.4,6.87,0.3,0.27,0.43,0.28,0.45,0.27,LaLiga,2011
Rayo Vallecano,6.87,12.3,24.1,35.9,16.2,3.4,6.87,0.37,0.27,0.35,0.28,0.42,0.29,LaLiga,2011
Osasuna,6.87,14.1,24.0,34.4,15.3,2.3,6.87,0.33,0.28,0.39,0.29,0.45,0.27,LaLiga,2011
Espanyol,6.83,12.5,23.1,28.2,15.4,2.2,6.83,0.4,0.24,0.35,0.27,0.44,0.28,LaLiga,2011
Real Zaragoza,6.81,13.9,24.1,36.8,17.6,3.2,6.81,0.38,0.26,0.37,0.29,0.45,0.27,LaLiga,2011
Getafe,6.81,13.6,22.0,32.7,15.2,2.7,6.81,0.37,0.23,0.4,0.3,0.45,0.24,LaLiga,2011
Sporting Gijon,6.81,14.8,27.2,33.3,16.9,2.4,6.81,0.34,0.26,0.4,0.29,0.45,0.27,LaLiga,2011
Granada,6.77,15.2,21.0,28.3,11.6,2.4,6.77,0.37,0.25,0.38,0.32,0.43,0.25,LaLiga,2011
Racing Santander,6.74,16.6,21.2,29.8,16.0,2.4,6.74,0.38,0.29,0.34,0.3,0.45,0.25,LaLiga,2011
Barcelona,7.2,9.1,19.4,14.9,10.6,3.3,7.2,0.34,0.33,0.33,0.21,0.49,0.3,LaLiga,2012
Real Madrid,7.09,11.7,19.2,14.1,12.4,4.2,7.09,0.35,0.32,0.33,0.25,0.45,0.3,LaLiga,2012
Atletico Madrid,6.96,10.1,22.9,16.2,15.6,2.9,6.96,0.42,0.24,0.34,0.24,0.45,0.3,LaLiga,2012
Valencia,6.88,11.9,22.6,16.1,15.2,2.4,6.88,0.37,0.28,0.36,0.27,0.43,0.29,LaLiga,2012
Real Sociedad,6.88,13.4,21.2,15.5,11.8,2.8,6.88,0.34,0.24,0.42,0.28,0.44,0.28,LaLiga,2012
Malaga,6.84,12.9,22.6,17.8,13.1,2.3,6.84,0.36,0.25,0.39,0.26,0.45,0.28,LaLiga,2012
Athletic Bilbao,6.83,15.7,24.4,17.5,14.1,2.9,6.83,0.32,0.25,0.43,0.3,0.45,0.25,LaLiga,2012
Real Betis,6.81,13.8,20.0,18.0,14.6,2.2,6.81,0.44,0.25,0.31,0.29,0.46,0.25,LaLiga,2012
Sevilla,6.81,12.4,22.1,14.3,14.4,2.4,6.81,0.34,0.26,0.4,0.27,0.45,0.28,LaLiga,2012
Osasuna,6.81,11.8,22.7,18.1,14.8,3.0,6.81,0.35,0.28,0.37,0.26,0.45,0.29,LaLiga,2012
Real Valladolid,6.79,15.8,21.4,15.8,13.3,2.1,6.79,0.36,0.3,0.34,0.31,0.45,0.23,LaLiga,2012
Espanyol,6.77,13.6,24.7,17.1,17.2,2.1,6.77,0.34,0.26,0.4,0.27,0.45,0.27,LaLiga,2012
Getafe,6.77,13.4,21.3,17.5,14.4,2.7,6.77,0.35,0.24,0.4,0.28,0.46,0.26,LaLiga,2012
Rayo Vallecano,6.75,13.4,21.9,15.6,15.6,2.4,6.75,0.38,0.24,0.38,0.29,0.43,0.28,LaLiga,2012
Granada,6.74,14.1,21.4,16.0,15.1,2.8,6.74,0.4,0.25,0.35,0.29,0.44,0.28,LaLiga,2012
Celta Vigo,6.73,13.1,21.4,19.0,13.4,2.2,6.73,0.31,0.27,0.42,0.28,0.47,0.25,LaLiga,2012
Levante,6.72,15.6,22.7,18.1,15.5,2.3,6.72,0.32,0.3,0.39,0.3,0.44,0.25,LaLiga,2012
Deportivo La Coruna,6.71,14.1,20.8,15.2,11.4,3.0,6.71,0.27,0.27,0.45,0.28,0.45,0.27,LaLiga,2012
Mallorca,6.67,14.3,20.1,15.9,15.7,2.2,6.67,0.33,0.27,0.41,0.28,0.44,0.28,LaLiga,2012
Real Zaragoza,6.65,11.5,20.5,16.0,16.2,2.4,6.65,0.39,0.25,0.35,0.25,0.46,0.29,LaLiga,2012
Real Madrid,7.21,10.9,19.8,14.3,11.8,3.8,7.21,0.37,0.29,0.34,0.23,0.45,0.31,LaLiga,2013
Barcelona,7.18,8.9,20.3,13.8,11.1,2.8,7.18,0.33,0.33,0.34,0.22,0.46,0.32,LaLiga,2013
Atletico Madrid,7.05,8.9,24.1,15.0,13.7,3.4,7.05,0.39,0.25,0.36,0.26,0.43,0.31,LaLiga,2013
Athletic Bilbao,6.94,11.0,23.1,15.0,12.6,2.1,6.94,0.33,0.27,0.41,0.25,0.45,0.29,LaLiga,2013
Sevilla,6.89,12.6,19.6,17.9,14.5,3.0,6.89,0.35,0.28,0.37,0.3,0.44,0.26,LaLiga,2013
Real Sociedad,6.86,13.9,17.3,13.5,11.9,2.1,6.86,0.34,0.24,0.42,0.29,0.44,0.27,LaLiga,2013
Celta Vigo,6.83,13.0,22.1,14.7,13.4,1.8,6.83,0.36,0.27,0.37,0.28,0.44,0.28,LaLiga,2013
Valencia,6.82,12.8,20.6,14.9,12.7,2.3,6.82,0.35,0.29,0.35,0.27,0.44,0.28,LaLiga,2013
Malaga,6.8,10.9,21.1,16.1,14.7,2.3,6.8,0.36,0.26,0.37,0.27,0.44,0.28,LaLiga,2013
Levante,6.8,16.7,18.5,18.3,17.0,1.9,6.8,0.29,0.29,0.42,0.32,0.43,0.25,LaLiga,2013
Villarreal,6.8,9.2,18.3,14.8,11.6,2.9,6.8,0.34,0.26,0.4,0.3,0.43,0.27,LaLiga,2013
Espanyol,6.77,11.1,20.2,17.0,14.8,1.5,6.77,0.32,0.26,0.42,0.27,0.45,0.29,LaLiga,2013
Granada,6.77,13.9,19.4,14.5,14.0,2.4,6.77,0.39,0.25,0.36,0.27,0.47,0.25,LaLiga,2013
Real Valladolid,6.75,14.2,20.7,16.2,13.6,2.7,6.75,0.38,0.26,0.36,0.29,0.45,0.26,LaLiga,2013
Osasuna,6.75,14.0,20.2,17.7,13.1,2.0,6.75,0.37,0.26,0.36,0.3,0.44,0.25,LaLiga,2013
Almeria,6.74,16.1,18.5,21.3,14.8,2.4,6.74,0.34,0.27,0.39,0.3,0.43,0.26,LaLiga,2013
Rayo Vallecano,6.73,12.4,20.1,16.7,14.1,2.2,6.73,0.41,0.23,0.36,0.28,0.43,0.28,LaLiga,2013
Getafe,6.72,14.2,19.4,16.4,14.9,2.0,6.72,0.36,0.26,0.38,0.3,0.44,0.26,LaLiga,2013
Real Betis,6.69,11.7,19.2,18.2,14.3,2.2,6.69,0.41,0.27,0.33,0.27,0.43,0.3,LaLiga,2013
Elche,6.64,11.0,19.6,12.6,13.8,1.8,6.64,0.42,0.22,0.35,0.28,0.45,0.27,LaLiga,2013
Barcelona,7.28,8.0,21.1,13.1,9.8,3.2,7.28,0.34,0.32,0.34,0.2,0.46,0.34,LaLiga,2014
Real Madrid,7.24,11.9,17.9,12.7,10.7,3.1,7.24,0.38,0.28,0.34,0.25,0.46,0.29,LaLiga,2014
