Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
Hannover 96,6.77,15.1,19.9,18.2,15.7,2.1,6.77,0.35,0.24,0.42,0.28,0.46,0.26,Bundesliga,2012
Augsburg,6.77,12.1,22.9,19.3,16.6,2.2,6.77,0.37,0.27,0.36,0.25,0.46,0.28,Bundesliga,2012
Fortuna Duesseldorf,6.74,14.2,25.8,19.9,15.2,2.5,6.74,0.38,0.24,0.37,0.28,0.48,0.23,Bundesliga,2012
Hoffenheim,6.74,13.1,24.1,17.8,17.0,3.4,6.74,0.37,0.27,0.36,0.27,0.47,0.25,Bundesliga,2012
Greuther Fuerth,6.65,13.7,26.2,18.0,19.1,3.1,6.65,0.37,0.28,0.34,0.28,0.48,0.26,Bundesliga,2012
Bayern Munich,7.42,8.9,16.6,9.5,12.0,1.9,7.42,0.32,0.29,0.4,0.23,0.43,0.35,Bundesliga,2013
Borussia Dortmund,7.23,9.8,23.6,16.4,13.6,3.1,7.23,0.33,0.3,0.36,0.25,0.43,0.32,Bundesliga,2013
Borussia M.Gladbach,7.09,15.6,17.8,15.8,10.6,1.9,7.09,0.39,0.28,0.34,0.3,0.45,0.23,Bundesliga,2013
Bayer Leverkusen,7.07,13.4,19.0,13.4,15.1,2.4,7.07,0.33,0.31,0.36,0.28,0.43,0.29,Bundesliga,2013
Schalke 04,7.06,13.4,19.9,16.6,16.3,2.3,7.06,0.32,0.31,0.37,0.26,0.45,0.28,Bundesliga,2013
Wolfsburg,7.05,11.3,21.0,15.0,16.1,2.1,7.05,0.35,0.25,0.39,0.27,0.44,0.29,Bundesliga,2013
Mainz 05,7.0,15.0,21.4,16.2,14.6,3.4,7.0,0.37,0.29,0.34,0.3,0.44,0.26,Bundesliga,2013
Hoffenheim,6.96,12.9,25.0,16.1,19.4,3.2,6.96,0.34,0.3,0.36,0.27,0.45,0.28,Bundesliga,2013
Hamburger SV,6.95,15.1,21.3,15.3,15.9,1.7,6.95,0.37,0.27,0.37,0.28,0.44,0.28,Bundesliga,2013
Werder Bremen,6.9,16.6,24.4,16.0,16.2,2.4,6.9,0.42,0.25,0.34,0.3,0.43,0.27,Bundesliga,2013
Hertha Berlin,6.89,10.9,23.2,14.2,16.3,2.1,6.89,0.36,0.27,0.37,0.26,0.46,0.27,Bundesliga,2013
Nuernberg,6.89,17.6,21.4,12.8,15.4,2.5,6.89,0.37,0.26,0.37,0.31,0.42,0.27,Bundesliga,2013
Eintracht Frankfurt,6.88,14.0,18.9,14.2,16.4,2.7,6.88,0.34,0.28,0.38,0.28,0.45,0.26,Bundesliga,2013
Augsburg,6.88,12.3,21.1,12.6,15.3,2.3,6.88,0.36,0.25,0.39,0.29,0.42,0.28,Bundesliga,2013
Hannover 96,6.85,13.9,18.7,14.0,17.4,1.5,6.85,0.32,0.26,0.42,0.29,0.43,0.28,Bundesliga,2013
VfB Stuttgart,6.82,13.7,21.3,16.9,14.9,2.4,6.82,0.38,0.25,0.37,0.29,0.44,0.26,Bundesliga,2013
Freiburg,6.8,16.1,20.4,14.3,15.1,2.3,6.8,0.36,0.23,0.42,0.3,0.42,0.28,Bundesliga,2013
Eintracht Braunschweig,6.74,16.2,22.0,12.4,16.4,3.0,6.74,0.34,0.27,0.4,0.3,0.42,0.28,Bundesliga,2013
Bayern Munich,7.2,7.5,15.9,13.1,11.9,2.3,7.2,0.35,0.29,0.36,0.21,0.46,0.32,Bundesliga,2014
